★,Category,Subcategory,,First author,Country,Year,Journal,Title,Study type,Notes,Type / polarity,Anode site,Cathode / ref site,Current (mA),Electrode size (cm²),Current density (mA/cm²),t / min,N sessions,Results:  positive ☺ / modest ☺ / null ☹  ↑ ↓ →  (conclusions),Link,Additional info,Comment,Reply,Additional info (2)
,Schizophrenia,Social cognition,,Rassovsky,Israel / USA,2015,Schizophr Res,Anodal DLPFC tDCS modulates social cognition in schizophrenia,Crossover,Emotion identification,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,1,☺ (modest) ↑ facial-affect processing,https://pubmed.ncbi.nlm.nih.gov/?term=Rassovsky%202015%20tDCS,"UNVERIFIED — Schizophr Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Addiction / craving,Crack-cocaine,,Nakamura-Palacios,Brazil,2012,J Neurosci Methods? / Front,DLPFC tDCS modulates craving-related activity in crack users,RCT (n=..),EEG/ERP,Anodal L / cathodal R,Left DLPFC (F3),Right DLPFC (F4),1,35,0.029,20,1,☺ Modulated craving-linked P300,https://pubmed.ncbi.nlm.nih.gov/?term=Nakamura-Palacios%202012%20tDCS,"UNVERIFIED — J Neurosci Methods? / Front full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Addiction / craving,Crack (fMRI),,da Silva,Brazil,2013,J Physiol Paris,Bilateral DLPFC tDCS alters craving-network activity in crack users,RCT (n=..),Mechanism,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,5,☺ ↓ craving; altered frontal activity,https://pubmed.ncbi.nlm.nih.gov/?term=da%20Silva%202013%20tDCS,"UNVERIFIED — J Physiol Paris full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Addiction / craving,Methamphetamine,,Shahbabaie,Iran,2014,Int J Neuropsychopharmacol,Anodal right-DLPFC tDCS state-dependently alters meth craving,Crossover (n=32),Cue-induced,Anodal,Right DLPFC (F4),Left supraorbital,2,35,0.057,20,1,☺ State-dependent craving change,https://pubmed.ncbi.nlm.nih.gov/?term=Shahbabaie%202014%20tDCS,"UNVERIFIED — Int J Neuropsychopharmacol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Addiction / craving,Alcohol (null),,den Uyl,Netherlands,2015,Alcohol Clin Exp Res,DLPFC tDCS + cognitive bias modification in heavy drinkers,RCT (n=..),Combined,Anodal,Left / right DLPFC,Contralateral,2,35,0.057,..,..,☹ No clear effect on drinking,https://pubmed.ncbi.nlm.nih.gov/?term=den%20Uyl%202015%20tDCS,"UNVERIFIED — Alcohol Clin Exp Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Appetite / craving,Repeated,,Ljubisavljevic,UAE,2016,Front Hum Neurosci,Repeated right-DLPFC tDCS reduces food craving,RCT (n=..),5 sessions,Anodal,Right DLPFC (F4),Left supraorbital,2,35,0.057,20,5,☺ ↓ food craving cumulatively,https://pubmed.ncbi.nlm.nih.gov/?term=Ljubisavljevic%202016%20tDCS,"UNVERIFIED — Front Hum Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Appetite / craving,Eating behaviour,,Lapenta,Brazil,2014,Appetite,Bilateral DLPFC tDCS reduces food-related ERP & intake,Crossover,ERP + intake,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,1,☺ ↓ caloric intake; altered N2/P3,https://pubmed.ncbi.nlm.nih.gov/?term=Lapenta%202014%20tDCS,"UNVERIFIED — Appetite full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Appetite / craving,Exercise/appetite,,Montenegro,Brazil,2012,Appetite,Anodal DLPFC tDCS modulates appetite after exercise,Crossover,Post-exercise appetite,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,1,☺ (modest) ↓ appetite ratings,https://pubmed.ncbi.nlm.nih.gov/?term=Montenegro%202012%20tDCS,"UNVERIFIED — Appetite full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Epilepsy,Temporal lobe,,Tekturk,Turkey,2016,Clin Neurol Neurosurg? / Epilepsy Res,Cathodal tDCS reduces seizures in mesial temporal lobe epilepsy,Open/RCT (n=12),3 consecutive days,Cathodal,Temporal focus,Contralateral,2,35,0.057,30,3,☺ ↓ seizure frequency,https://pubmed.ncbi.nlm.nih.gov/?term=Tekturk%202016%20tDCS,"UNVERIFIED — Clin Neurol Neurosurg? / Epilepsy Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Epilepsy,Focal,,Assenza,Italy,2017,Brain Stimul,Cathodal tDCS reduces seizures & interictal activity in focal epilepsy,Open (n=..),EEG connectivity,Cathodal,Epileptogenic focus,Contralateral,2,35,0.057,20,5,☺ ↓ seizures; EEG desynchronization,https://pubmed.ncbi.nlm.nih.gov/?term=Assenza%202017%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Epilepsy,LGS / spasms,,Auvichayapat,Thailand,2016,Brain Stimul,Cathodal tDCS in Lennox-Gastaut / epileptic spasms,RCT (n=..),Pediatric refractory,Cathodal,Vertex / focus,Contralateral shoulder,2,35,0.057,20,5,☺ ↓ spasm frequency at 1 mo,https://pubmed.ncbi.nlm.nih.gov/?term=Auvichayapat%202016%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,ADHD,Children (interference),,Breitling,Germany,2016,Front Cell Neurosci,Anodal / HD tDCS of right IFG improves interference control in ADHD,Crossover (n=..),Adolescents,Anodal,Right IFG,Contralateral / surround,1,35,0.029,20,1,☺ ↑ interference control,https://pubmed.ncbi.nlm.nih.gov/?term=Breitling%202016%20tDCS,"UNVERIFIED — Front Cell Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,ADHD,Children (RCT),,Soff,Germany,2017,J Neural Transm,Anodal left-DLPFC tDCS reduces ADHD symptoms in adolescents,RCT (n=15),5 sessions,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,5,☺ ↓ inattention after 7 days,https://pubmed.ncbi.nlm.nih.gov/?term=Soff%202017%20tDCS,"UNVERIFIED — J Neural Transm full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,ADHD,Children (inhibition),,Nejati,Iran,2020,Sci Rep? / J Atten Disord,DLPFC vs OFC tDCS on executive function in children with ADHD,Crossover,Multiple targets,Anodal & cathodal,Left DLPFC / OFC,Contralateral,1,35,0.029,15,1,☺ Target-dependent ↑ inhibition/WM,https://pubmed.ncbi.nlm.nih.gov/?term=Nejati%202020%20tDCS,"UNVERIFIED — Sci Rep? / J Atten Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Tinnitus,Dose optimization,,Shekhawat,New Zealand,2013,Neurorehabil Neural Repair,Optimizing bifrontal tDCS dose for tinnitus suppression,Dose study (n=..),Intensity × duration,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,1,☺ 2 mA / 20 min most effective,https://pubmed.ncbi.nlm.nih.gov/?term=Shekhawat%202013%20tDCS,"UNVERIFIED — Neurorehabil Neural Repair full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Alzheimer's / dementia,Apathy (null),,Suemoto,Brazil,2014,Brain Stimul,Anodal DLPFC tDCS for apathy in Alzheimer's disease,RCT (n=40),Apathy outcome,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,6,☹ No effect on apathy,https://pubmed.ncbi.nlm.nih.gov/?term=Suemoto%202014%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Alzheimer's / dementia,Long-term,,Gangemi,Italy,2021,Neurol Sci,Repeated tDCS gives long-term cognitive benefit in AD,Controlled (n=..),Daily + follow-up,Anodal,Bilateral temporal,Deltoid,2,35,0.057,20,10,☺ ↑ MMSE sustained at 6–8 mo,https://pubmed.ncbi.nlm.nih.gov/?term=Gangemi%202021%20tDCS,"UNVERIFIED — Neurol Sci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Multiple sclerosis,Fatigue (DLPFC),,Chalah,France,2017,J Neurol Sci,Left-DLPFC vs right-PPC tDCS for MS fatigue,Crossover (n=10),Target comparison,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,5,☺ Left DLPFC ↓ fatigue most,https://pubmed.ncbi.nlm.nih.gov/?term=Chalah%202017%20tDCS,"UNVERIFIED — J Neurol Sci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,OCD,Cathodal SMA/OFC,,D'Urso,Italy,2016,World J Biol Psychiatry,Cathodal (vs anodal) pre-SMA tDCS for OCD,Case series/crossover,Polarity matters,Cathodal,Pre-SMA,Right deltoid,2,35,0.057,20,10,☺ Cathodal ↓ Y-BOCS; anodal worsened,https://pubmed.ncbi.nlm.nih.gov/?term=D%27Urso%202016%20tDCS,"UNVERIFIED — World J Biol Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,OCD,DLPFC,,Alizadeh Goradel,Iran,2016,Iran J Psychiatry? / clinical,Anodal DLPFC tDCS for obsessive-compulsive symptoms,RCT (n=..),DLPFC target,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,10,☺ (modest) ↓ OCD symptoms,https://pubmed.ncbi.nlm.nih.gov/?term=Alizadeh%20Goradel%202016%20tDCS,"UNVERIFIED — Iran J Psychiatry? / clinical full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Anxiety,GAD,,Shiozawa,Brazil,2014,Rev Bras Psiquiatr / J ECT,Cathodal / prefrontal tDCS for generalized anxiety (pilot),Pilot (n=..),Adjunctive,Cathodal,Right DLPFC,Left supraorbital,2,35,0.057,30,..,☺ (modest) ↓ anxiety symptoms,https://pubmed.ncbi.nlm.nih.gov/?term=Shiozawa%202014%20tDCS,"UNVERIFIED — Rev Bras Psiquiatr / J ECT full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stuttering,Fluency,,Chesters,UK,2018,Brain,Anodal left-IFC tDCS + fluency training reduces stuttering,RCT (n=30),Combined with training,Anodal,Left inferior frontal cortex,Right supraorbital,1,35,0.029,20,5,☺ ↑ fluency retained at 6 wk,https://pubmed.ncbi.nlm.nih.gov/?term=Chesters%202018%20tDCS,"UNVERIFIED — Brain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Dyslexia,Reading (children),,Costanzo,Italy,2016,Restor Neurol Neurosci,Bilateral parietotemporal tDCS improves reading in dyslexia,RCT (n=19),Anode left / cathode right,Anodal L / cathodal R,Left parietotemporal,Right parietotemporal,1,—,—,20,18,☺ ↑ reading accuracy & efficiency,https://pubmed.ncbi.nlm.nih.gov/?term=Costanzo%202016%20tDCS,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Disorders of consciousness,MCS (mobilization),,Martens,Belgium,2018,Brain Stimul,Repeated prefrontal tDCS improves signs of consciousness in MCS,RCT (n=27),5 daily sessions,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,5,☺ ↑ CRS-R vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Martens%202018%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
★,Physiology / mechanism,Foundational (animal),,Bindman,UK,1964,J Physiol,Prolonged cortical excitability changes from small DC currents (rat),Animal,Classic basis of tDCS,Anodal & cathodal,Cortical surface,—,—,—,—,—,1,☺ Surface-positive DC ↑ / negative ↓ firing for hours,https://pubmed.ncbi.nlm.nih.gov/?term=Bindman%201964%20tDCS,"UNVERIFIED — J Physiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Physiology / mechanism,Foundational (animal),,Purpura & McMurtry,USA,1965,J Neurophysiol,Polarizing DC currents modulate cortical neuron activity (cat),Animal,Neuronal polarization mechanism,Anodal & cathodal,Cortical surface,—,—,—,—,—,1,☺ Established polarity-dependent neuronal effects,https://pubmed.ncbi.nlm.nih.gov/?term=Purpura%20%26%20McMurtry%201965%20tDCS,"UNVERIFIED — J Neurophysiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,Cognitive outcome,,Martin,Australia,2011,Int J Neuropsychopharmacol,Cognitive effects of tDCS in depression (no impairment),RCT,Loo-group cognition,Anodal,F3 (left DLPFC),F8 (right),2,35,0.057,20,—,☺ No cognitive impairment; safe,https://pubmed.ncbi.nlm.nih.gov/?term=Martin%202011%20tDCS,"UNVERIFIED — Int J Neuropsychopharmacol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,Elderly,,Aparicio,Brazil,2019,Depress Anxiety,tDCS for late-life depression (sham-controlled pilot),RCT,Older adults,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.080,30,10,☺ (modest) ↓ depression in elderly,https://pubmed.ncbi.nlm.nih.gov/?term=Aparicio%202019%20tDCS,"UNVERIFIED — Depress Anxiety full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,Cognition,,Nikolin,Australia,2018,Psychol Med,tDCS + cognitive emotional training for depression (cognition),RCT,Loo group,Anodal,F3 (left DLPFC),F8 (right),2,35,0.057,20,—,☺ Safe; no cognitive decline,https://pubmed.ncbi.nlm.nih.gov/?term=Nikolin%202018%20tDCS,"UNVERIFIED — Psychol Med full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,Post-stroke depression,,Valiengo,Brazil,2017,J Neurol Neurosurg Psychiatry,tDCS for post-stroke depression (sham-controlled),RCT (n=48),PSD,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.080,30,12,☺ ↓ depression vs sham in stroke patients,https://pubmed.ncbi.nlm.nih.gov/?term=Valiengo%202017%20tDCS,"UNVERIFIED — J Neurol Neurosurg Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,Antenatal,,Vigod,Canada,2019,J Affect Disord,tDCS for antenatal depression (open pilot),Pilot,Pregnancy,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.080,30,15,☺ (modest) Feasible; ↓ symptoms,https://pubmed.ncbi.nlm.nih.gov/?term=Vigod%202019%20tDCS,"UNVERIFIED — J Affect Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,TRD case series,,Palm,Germany,2009,Brain Stimul,Bifrontal tDCS in treatment-resistant depression (series),Case series,Early TRD report,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,10,☺ (modest) Symptom improvement in some,https://pubmed.ncbi.nlm.nih.gov/?term=Palm%202009%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,Skill learning,,Lefebvre,Belgium,2013,Brain,Dual-tDCS improves precision-grip skill learning in chronic stroke,RCT crossover (n=19),Motor skill + retention,Anodal+Cathodal (dual),Ipsilesional M1,Contralesional M1,1,—,—,30,1,☺ ↑ skill learning; retained 1 wk,https://pubmed.ncbi.nlm.nih.gov/?term=Lefebvre%202013%20tDCS,"UNVERIFIED — Brain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,Bilateral + robot,,Straudi,Italy,2016,Neural Plast,Bilateral tDCS + robot therapy in subacute stroke,RCT,Combined,Anodal+Cathodal (dual),Ipsilesional M1,Contralesional M1,2,35,0.057,30,10,☺ (modest) ↑ upper-limb function,https://pubmed.ncbi.nlm.nih.gov/?term=Straudi%202016%20tDCS,"UNVERIFIED — Neural Plast full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,Cathodal + training,,Wu,China,2013,Arch Phys Med Rehabil,Cathodal contralesional tDCS + training in subacute stroke,RCT (n=90),Larger trial,Cathodal,Contralesional M1,Ipsilesional supraorbital,1.2,—,—,20,20,☺ ↑ arm function vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Wu%202013%20tDCS,"UNVERIFIED — Arch Phys Med Rehabil full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,SCI motor (robot),,Yozbatiran,USA,2016,Restor Neurol Neurosci,Anodal M1 tDCS + robot arm training in cervical SCI,RCT crossover (n=9),Incomplete SCI,Anodal,M1 (arm area),Contralateral supraorbital,2,—,—,20,—,☺ (modest) ↑ arm strength/function,https://pubmed.ncbi.nlm.nih.gov/?term=Yozbatiran%202016%20tDCS,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Aphasia (post-stroke),Conversation,,Campana,Italy,2015,Front Hum Neurosci,Bihemispheric tDCS improves conversational content in chronic aphasia,RCT crossover (n=20),Marangolo group,Anodal / cathodal,Left frontal / right,Contralateral,2,—,—,20,15,☺ ↑ discourse informativeness,https://pubmed.ncbi.nlm.nih.gov/?term=Campana%202015%20tDCS,"UNVERIFIED — Front Hum Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Aphasia (post-stroke),Subacute (RCT),,Polanowska,Poland,2013,Restor Neurol Neurosci,Anodal tDCS + naming therapy in subacute aphasia,RCT (n=37),Subacute,Anodal,Left frontal,Right supraorbital,1,—,—,10,15,☺ (modest) ↑ naming early; converges later,https://pubmed.ncbi.nlm.nih.gov/?term=Polanowska%202013%20tDCS,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),WM (older adults),,Berryhill,USA,2011,Neurosci Lett,Anodal DLPFC tDCS improves WM in high-education older adults,Healthy elderly,Individual differences,Anodal,F3 / F4 (DLPFC),Contralateral cheek,1.5,35,0.043,10,1,☺ ↑ WM in higher-functioning elderly,https://pubmed.ncbi.nlm.nih.gov/?term=Berryhill%202011%20tDCS,"UNVERIFIED — Neurosci Lett full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),Creativity,,Chrysikou,USA,2013,Cogn Neurosci,Cathodal prefrontal tDCS improves flexible tool use,Healthy,'Less-is-more' effect,Cathodal,Left PFC,Right cheek,1.5,35,0.043,—,1,☺ Cathodal PFC ↑ flexible/creative use,https://pubmed.ncbi.nlm.nih.gov/?term=Chrysikou%202013%20tDCS,"UNVERIFIED — Cogn Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),Semantic,,Weiss & Lavidor,Israel,2012,J Cogn Neurosci,Cathodal posterior tDCS enhances remote associates,Healthy,Convergent thinking,Cathodal,Right posterior temporal,Contralateral,1.5,35,0.043,—,1,☺ ↑ semantic integration,https://pubmed.ncbi.nlm.nih.gov/?term=Weiss%20%26%20Lavidor%202012%20tDCS,"UNVERIFIED — J Cogn Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),WM (lateralized),,Meiron,Israel,2013,Neuroscience,Right vs left DLPFC tDCS and working-memory load,Healthy,Load-dependent,Anodal,Left or right DLPFC,Contralateral supraorbital,1.5,35,0.043,—,1,☺ ↑ WM; hemisphere & load dependent,https://pubmed.ncbi.nlm.nih.gov/?term=Meiron%202013%20tDCS,"UNVERIFIED — Neuroscience full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),WM (load),,Gill,USA,2015,Brain Stimul,tDCS WM gains depend on task difficulty,Healthy,Higher load benefits more,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,15,1,☺ ↑ WM most under high load,https://pubmed.ncbi.nlm.nih.gov/?term=Gill%202015%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Motor learning (healthy),Cerebellar,,Cantarero,USA,2015,J Neurosci,Cerebellar tDCS enhances motor-skill acquisition & consolidation,Healthy,Cerebellum target,Anodal,Cerebellum,Buccinator,2,25,0.080,—,3,☺ ↑ skill acquisition & retention,https://pubmed.ncbi.nlm.nih.gov/?term=Cantarero%202015%20tDCS,"UNVERIFIED — J Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Motor learning (healthy),Site comparison,,Kantak,USA,2012,Behav Brain Res,M1 vs DLPFC tDCS effects on motor learning & retention,Healthy,Site-dependent,Anodal,M1 / DLPFC,Contralateral supraorbital,1,25,0.040,—,1,☺ M1 ↑ retention; PFC ↑ acquisition,https://pubmed.ncbi.nlm.nih.gov/?term=Kantak%202012%20tDCS,"UNVERIFIED — Behav Brain Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,Trigeminal neuralgia,,Hagenacker,Germany,2014,J Headache Pain,Anodal M1 tDCS reduces trigeminal neuralgia pain,Open (n=10),Cranial neuralgia,Anodal,M1 (face area),Contralateral supraorbital,1,35,0.029,20,14,☺ ↓ pain intensity/attacks,https://pubmed.ncbi.nlm.nih.gov/?term=Hagenacker%202014%20tDCS,"UNVERIFIED — J Headache Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,SCI pain (null),,Wrigley,Australia,2013,Pain,Anodal M1 tDCS for neuropathic SCI pain (no benefit),RCT (n=10),Valid negative,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,5,☹ No significant pain reduction,https://pubmed.ncbi.nlm.nih.gov/?term=Wrigley%202013%20tDCS,"UNVERIFIED — Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,Knee osteoarthritis,,Kim,South Korea,2013,Clin J Pain,Anodal M1 tDCS for knee-osteoarthritis pain,RCT,Older adults,Anodal,M1 (knee area),Contralateral supraorbital,2,35,0.057,20,—,☺ (modest) ↓ pain,https://pubmed.ncbi.nlm.nih.gov/?term=Kim%202013%20tDCS,"UNVERIFIED — Clin J Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,SCI pain (HD),,Harvey,Canada,2018,Clin J Pain,HD-tDCS of M1 for neuropathic pain after SCI,RCT,HD montage,Anodal,M1 (C3/C4) 4×1,4× surround,2,HD 4×1,—,20,5,☹/☺ Mixed / modest analgesia,https://pubmed.ncbi.nlm.nih.gov/?term=Harvey%202018%20tDCS,"UNVERIFIED — Clin J Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Parkinson's disease,Freezing of gait,,Valentino,Italy,2014,Mov Disord,Anodal M1 (leg) tDCS reduces freezing of gait in PD,RCT crossover (n=10),FOG target,Anodal,M1 (leg area),Contralateral supraorbital,2,35,0.057,20,5,☺ ↓ freezing episodes,https://pubmed.ncbi.nlm.nih.gov/?term=Valentino%202014%20tDCS,"UNVERIFIED — Mov Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Parkinson's disease,Multitarget FOG,,Dagan,Israel,2018,Mov Disord,Simultaneous M1 + DLPFC HD-tDCS for freezing of gait,RCT crossover (n=20),Multitarget HD,Anodal,M1 + DLPFC (multifocal),Multifocal,2,HD multi,—,20,1,☺ Multitarget > single for FOG & cognition,https://pubmed.ncbi.nlm.nih.gov/?term=Dagan%202018%20tDCS,"UNVERIFIED — Mov Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Parkinson's disease,Gait,,Schabrun,Australia,2016,PLoS One,Anodal M1 tDCS + gait training in Parkinson's,RCT (n=16),Combined,Anodal,M1 (leg area),Contralateral supraorbital,2,35,0.057,20,9,☹/☺ ↑ some measures; no clear gait benefit,https://pubmed.ncbi.nlm.nih.gov/?term=Schabrun%202016%20tDCS,"UNVERIFIED — PLoS One full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Schizophrenia,Hallucinations/delusions,,Vercammen,Netherlands,2011,Schizophr Res,Bifrontal tDCS and auditory hallucinations/delusions,RCT,Bifrontal,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,—,—,☹/☺ Limited effect on hallucinations,https://pubmed.ncbi.nlm.nih.gov/?term=Vercammen%202011%20tDCS,"UNVERIFIED — Schizophr Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Schizophrenia,Hallucinations,,Bose,India,2018,Schizophr Res,Fronto-temporal tDCS for persistent auditory hallucinations,RCT,Replication,Anodal + cathodal,Left DLPFC (F3),Left temporoparietal,2,35,0.057,20,10,☺ ↓ hallucination severity,https://pubmed.ncbi.nlm.nih.gov/?term=Bose%202018%20tDCS,"UNVERIFIED — Schizophr Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Addiction / craving,Smoking (single),,Falcone,USA,2016,Drug Alcohol Depend,Single-session DLPFC tDCS and smoking behaviour,RCT (n=25),Acute abstinence,Anodal,Left DLPFC (F3),Right supraorbital,1,35,0.029,20,1,☺ (modest) ↓ smoking / ↑ latency,https://pubmed.ncbi.nlm.nih.gov/?term=Falcone%202016%20tDCS,"UNVERIFIED — Drug Alcohol Depend full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Addiction / craving,Smoking (craving),,Mondino,France,2015,Brain Stimul,Fronto-temporo-parietal tDCS reduces cigarette craving,Crossover,Craving outcome,Anodal,Left DLPFC (F3),Right temporoparietal,2,35,0.057,20,1,☺ ↓ craving vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Mondino%202015%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
