★,Category,Subcategory,,First author,Country,Year,Journal,Title,Study type,Notes,Modality,Target / location,Frequency (Hz),Current (mA),Pulse width (µs),Duty cycle (on/off),Paired therapy,Device,Duration (per session),N sessions / therapy length,Results (☺ positive / modest / ☹ null → conclusions),Link
☺ (modest),PTSD / fear,taVNS fear/uncertainty,,Burger,Netherlands,2017,Int J Psychophysiol / Psychophysiology,Transcutaneous vagus nerve stimulation and fear generalization / uncertainty,"Behavior, healthy",Fear processing,taVNS,Auricular (concha),25,0.5,200-300,continuous,with fear task,—,task,1,taVNS modulated fear generalization and threat processing,https://pubmed.ncbi.nlm.nih.gov/?term=Burger%202017%20vagus%20nerve%20stimulation
☺ (modest),PTSD / fear,taVNS defensive response,,Szeska,Germany,2020,Sci Rep / Psychophysiology,Transcutaneous vagus nerve stimulation promotes extinction of defensive responses,"RCT, healthy",Extinction,taVNS,Auricular (cymba conchae),25,0.5,200-500,paired with extinction,with extinction,—,task,1,taVNS enhanced extinction of defensive (startle) responses,https://pubmed.ncbi.nlm.nih.gov/?term=Szeska%202020%20vagus%20nerve%20stimulation
☺ (modest),Anxiety disorders,taVNS anxiety RCT,,Tan,China,2022,J Affect Disord / Front Psychiatry,Transcutaneous auricular vagus nerve stimulation for generalized anxiety disorder: randomized trial,RCT,GAD,taVNS,Auricular (cymba conchae),20,4-6,200-300,30 min x2/day,—,—,30 min x2/day,8 wk,Reduced anxiety (HAMA) vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Tan%202022%20vagus%20nerve%20stimulation
☺ (modest),Anxiety disorders,taVNS emotion regulation,,Bramson,Netherlands,2023,Biol Psychiatry CNNI / eLife,Transcutaneous vagus nerve stimulation enhances emotional-action control,"Behavior + fMRI, healthy",Emotion regulation,taVNS,Auricular (cymba conchae),25,to tolerance,250,varied,—,—,task,1,taVNS improved control over emotional actions (prefrontal-amygdala),https://pubmed.ncbi.nlm.nih.gov/?term=Bramson%202023%20vagus%20nerve%20stimulation
☺ (modest),Anxiety disorders,taVNS GAD,,Zhu,China,2022,Front Psychiatry / J Affect Disord,Transcutaneous auricular vagus nerve stimulation for anxiety: pilot RCT,RCT pilot,Anxiety,taVNS,Auricular (cymba conchae),20,to tolerance,200-300,30 min/day,—,—,30 min/day,weeks,Reduced anxiety symptoms vs sham (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Zhu%202022%20vagus%20nerve%20stimulation
☺ (modest),Functional GI,taVNS functional dyspepsia,,Zhu,China,2021,Neurogastroenterol Motil / Am J Gastroenterol,Transcutaneous auricular vagus nerve stimulation improves functional dyspepsia: randomized trial,RCT,Functional dyspepsia,taVNS,Auricular (cymba conchae),25,to tolerance,500,2 wks x daily,—,—,min x2/day,4 wk,Improved dyspepsia symptoms and gastric accommodation vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Zhu%202021%20vagus%20nerve%20stimulation
☺ (modest),Functional GI,taVNS gastric / appetite,,Teckentrup,Germany,2020,Am J Physiol / Appetite,Non-invasive stimulation of vagal afferents modulates gastric myoelectric activity and food intake,"Physiology, healthy",Gastric/food,taVNS,Auricular (cymba conchae),10-25,to tolerance,250,varied,—,—,min,1,taVNS modulated gastric myoelectric frequency and eating behavior,https://pubmed.ncbi.nlm.nih.gov/?term=Teckentrup%202020%20vagus%20nerve%20stimulation
☺ (modest),Functional GI,taVNS appetite,,Kozorosky,USA,2022,Appetite / Physiol Behav,Transcutaneous auricular vagus nerve stimulation and appetite/food intake,"RCT, healthy",Appetite,taVNS,Auricular (cymba conchae),—,to tolerance,—,varied,—,—,min,1,taVNS altered appetite ratings/food intake vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Kozorosky%202022%20vagus%20nerve%20stimulation
☺ (modest),Functional GI,taVNS IBS,,Hong,China / USA,2022,Neurogastroenterol Motil / Front Neurosci,Transcutaneous vagus nerve stimulation for irritable bowel syndrome: pilot,Pilot,IBS,taVNS,Auricular (cymba conchae),25,to tolerance,300-500,min/day,—,—,min/day,weeks,Reduced abdominal pain/IBS symptoms (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Hong%202022%20vagus%20nerve%20stimulation
☺ (modest),Functional GI,taVNS gastric motility,,Shi,China,2021,Neuromodulation / Am J Physiol,Transcutaneous auricular vagus nerve stimulation enhances gastric motility,Physiology,Gastric motility,taVNS,Auricular (cymba conchae),25,to tolerance,500,varied,—,—,min,1,taVNS increased gastric slow-wave/motility via vagal pathway,https://pubmed.ncbi.nlm.nih.gov/?term=Shi%202021%20vagus%20nerve%20stimulation
☺ (modest),Tinnitus,taVNS safety,,Kreuzer,Germany,2014,Front Psychiatry / Brain Stimul,Transcutaneous vagus nerve stimulation: retrospective assessment of tolerability in tinnitus,Retrospective,Safety/tolerability,taVNS,Auricular (cymba conchae),25,0.5-1.0,250,4h/day,—,NEMOS,hrs/day,weeks,Well tolerated; modest tinnitus benefit in some,https://pubmed.ncbi.nlm.nih.gov/?term=Kreuzer%202014%20vagus%20nerve%20stimulation
☺ (modest),Tinnitus,taVNS tinnitus,,Ylikoski,Finland,2017,Acta Otolaryngol / Int Tinnitus J,Transcutaneous vagus nerve stimulation for chronic tinnitus,Prospective,Tinnitus,taVNS,Auricular (concha),25,to tolerance,250,min/day,—,—,min/day,weeks,Reduced tinnitus distress and improved HRV,https://pubmed.ncbi.nlm.nih.gov/?term=Ylikoski%202017%20vagus%20nerve%20stimulation
☺ (modest),Tinnitus,taVNS + sound,,Suk,South Korea,2018,Prog Neuropsychopharmacol Biol Psychiatry / Otol Neurotol,Transcutaneous vagus nerve stimulation paired with sound for tinnitus,Pilot,Paired with sound,taVNS,Auricular (concha),25,to tolerance,250,sound-paired,with tailored sound,—,min/session,weeks,Paired taVNS + sound reduced tinnitus handicap in a subset,https://pubmed.ncbi.nlm.nih.gov/?term=Suk%202018%20vagus%20nerve%20stimulation
☺ (modest),Parkinson's disease,taVNS gait,,Sigurdsson,UK,2021,Front Aging Neurosci / Brain Commun,Transcutaneous auricular vagus nerve stimulation and gait in Parkinson's disease,Pilot,Gait,taVNS,Auricular (cymba conchae),25,to tolerance,250,paired with gait,—,—,min,1-few,Improved gait measures acutely in PD (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Sigurdsson%202021%20vagus%20nerve%20stimulation
☺ (modest),Parkinson's disease,taVNS motor/cognition,,Marano,Italy,2022,Parkinsonism Relat Disord / Front Neurol,Transcutaneous auricular vagus nerve stimulation in Parkinson's disease: pilot,Pilot,Motor/cognition,taVNS,Auricular (cymba conchae),25,to tolerance,250,min/day,—,—,min/day,weeks,Modest motor/cognitive/autonomic effects (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Marano%202022%20vagus%20nerve%20stimulation
☺ (modest),Parkinson's disease,taVNS balance,,Mondal,USA,2021,Neurosci Lett / Front Physiol,Non-invasive vagus nerve stimulation improves postural stability in Parkinson's disease,Pilot,Balance,taVNS,Auricular (tragus),25,to tolerance,250-500,acute,—,—,min,1,Acute taVNS improved postural stability measures,https://pubmed.ncbi.nlm.nih.gov/?term=Mondal%202021%20vagus%20nerve%20stimulation
☹,Schizophrenia,taVNS RCT (null),,Hasan,Germany,2015,Eur Arch Psychiatry Clin Neurosci,Transcutaneous noninvasive vagus nerve stimulation (taVNS) in the treatment of schizophrenia: a randomized controlled trial,RCT,Add-on taVNS,taVNS,Auricular (cymba conchae),25,0.5-1.0,250,varied,—,NEMOS,min/day,26 wk,No significant symptom benefit over sham (valid negative),https://pubmed.ncbi.nlm.nih.gov/?term=Hasan%202015%20vagus%20nerve%20stimulation
☺ (modest),Schizophrenia,taVNS cognition,,Zhu,China,2019,Schizophr Res / Front Psychiatry,Transcutaneous auricular vagus nerve stimulation for cognition in schizophrenia: pilot,Pilot,Cognition,taVNS,Auricular (cymba conchae),20-25,to tolerance,200-300,min/day,—,—,min/day,weeks,Modest cognitive change; larger trials needed (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Zhu%202019%20vagus%20nerve%20stimulation
☺ (modest),Addiction,taVNS craving,,Cai,China,2022,Front Psychiatry / Drug Alcohol Depend,Transcutaneous auricular vagus nerve stimulation reduces cue-induced craving,RCT pilot,Cue-craving,taVNS,Auricular (cymba conchae),20-25,to tolerance,200-300,cue-paired,—,—,min,1-few,taVNS reduced cue-induced craving vs sham (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Cai%202022%20vagus%20nerve%20stimulation
☺,Mechanism / methodology,Vagal afferent evidence,,Fallgatter,Germany,2003,Clin Neurophysiol,Far field potentials from the brain stem after transcutaneous vagus nerve stimulation,"Physiology, healthy",First afferent evidence,taVNS,Auricular (tragus),—,to tolerance,—,short,—,—,min,1,Recorded vagal sensory evoked (far-field) potentials — proof taVNS activates vagal afferents,https://pubmed.ncbi.nlm.nih.gov/?term=Fallgatter%202003%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,Evoked potentials,,Polak,Germany,2009,J Neural Transm,Vagus somatosensory evoked potentials during taVNS: reproducibility,Physiology,VSEP reliability,taVNS,Auricular (tragus),—,to tolerance,—,short,—,—,min,1,Established vagus somatosensory evoked potentials as a taVNS target marker,https://pubmed.ncbi.nlm.nih.gov/?term=Polak%202009%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,taVNS fMRI,,Dietrich,Germany,2008,Biomed Tech (Berl),A novel transcutaneous vagus nerve stimulation leads to brainstem and cortical activations (fMRI),fMRI,Early taVNS imaging,taVNS,Auricular (concha),—,to tolerance,—,block,—,—,min,1,taVNS activated brainstem and higher-order regions on fMRI,https://pubmed.ncbi.nlm.nih.gov/?term=Dietrich%202008%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,taVNS BOLD,,Kraus,Germany,2013,Brain Stimul,CNS BOLD fMRI effects of sham-controlled transcutaneous electrical nerve stimulation in the left outer auditory canal,fMRI,Sham-controlled imaging,taVNS,Auricular (canal / tragus),—,to tolerance,—,block,—,—,min,1,Mapped taVNS site-specific BOLD responses vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Kraus%202013%20vagus%20nerve%20stimulation
☺,Mechanism / methodology,Respiratory-gated (7T),,Sclocco,USA,2019,Brain Stimul,The influence of respiration on brainstem and cardiovagal response to auricular vagus nerve stimulation: a 7T fMRI study,7T fMRI,Respiratory gating,taVNS,Auricular (cymba conchae),—,to tolerance,—,exhalation-gated,—,—,min,1,Exhalation-gated taVNS produced stronger NTS/brainstem and cardiovagal responses,https://pubmed.ncbi.nlm.nih.gov/?term=Sclocco%202019%20vagus%20nerve%20stimulation
☺ (modest),Mechanism / methodology,Respiratory-gated cardiovagal,,Sclocco,USA,2020,Neuroimage / Auton Neurosci,Respiratory-gated auricular vagal afferent nerve stimulation (RAVANS) optimizes autonomic modulation,Physiology + fMRI,RAVANS optimization,taVNS,Auricular (RAVANS),—,to tolerance,—,respiration-gated,—,RAVANS,min,1,Respiration-gated taVNS enhanced cardiovagal/autonomic engagement,https://pubmed.ncbi.nlm.nih.gov/?term=Sclocco%202020%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,taVNS fMRI optimization,,Yakunina,South Korea,2018,Neuromodulation,BOLD fMRI effects of transcutaneous vagus nerve stimulation at different sites and parameters,fMRI,Parameter mapping,taVNS,Auricular (cymba conchae vs tragus),—,to tolerance,—,block,—,—,min,1,Confirmed cymba conchae and specific parameters maximize brainstem engagement,https://pubmed.ncbi.nlm.nih.gov/?term=Yakunina%202018%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,taVNS technical/physiology,,Ellrich,Germany,2011,J Clin Neurophysiol / Eur Neurol,Transcutaneous vagus nerve stimulation: technical and physiological basis,Methods,Technical basis,taVNS,Auricular (tragus / concha),—,—,—,—,—,—,—,—,Describes taVNS technical principles and afferent physiology,https://pubmed.ncbi.nlm.nih.gov/?term=Ellrich%202011%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,taVNS review (state of art),,Burger,Netherlands,2020,Int J Psychophysiol / Neurosci Biobehav Rev,Transcutaneous vagus nerve stimulation (tVNS) and the state of the art,Review,Critical review,taVNS,Auricular,20-30,—,—,—,—,—,—,—,"Critically reviews taVNS evidence, effect sizes, and replication gaps",https://pubmed.ncbi.nlm.nih.gov/?term=Burger%202020%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,taVNS current directions,,Kaniusas,Austria,2019,Front Neurosci,Current directions in the auricular vagus nerve stimulation (parts I & II),Review,Engineering + clinical,taVNS,Auricular,—,—,—,—,—,—,—,—,"Two-part review of taVNS physics, dosing, and clinical translation",https://pubmed.ncbi.nlm.nih.gov/?term=Kaniusas%202019%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,taVNS parameter review,,Wolf,Germany,2021,Front Hum Neurosci / Brain Stimul,Transcutaneous auricular vagus nerve stimulation: parameter selection and effects,Review,Parameter guidance,taVNS,Auricular (cymba conchae),10-30,0.5-8,100-500,varied,—,—,—,—,Synthesizes how frequency/intensity/site/timing shape taVNS outcomes,https://pubmed.ncbi.nlm.nih.gov/?term=Wolf%202021%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,taVNS methodology recommendations,,Ridgewell,USA,2021,Brain Stimul / Prog Neurobiol,The importance of stimulation parameters and reporting in taVNS research,Methods / guideline,Reporting standards,taVNS,Auricular,—,—,—,—,—,—,—,—,Recommends standardized taVNS parameters and reporting to aid reproducibility,https://pubmed.ncbi.nlm.nih.gov/?term=Ridgewell%202021%20vagus%20nerve%20stimulation
