★	Category	Subcategory		First author	Country	Year	Journal	Title	Study type	Notes	Coil type	Target site	Stim type	Freq (Hz)	Intensity (%MT)	Pulses / session	Total pulses (course)	Localization	t / session	N sessions	Results (☺ positive / modest / ☹ null → conclusions)	Link
☺ (modest)	Stroke – Aphasia	Right IFG RCT		Waldowski	Poland	2012	ScientificWorldJournal	LF rTMS of right IFG for naming in acute aphasia: randomized sham-controlled trial	RCT	1Hz right IFG	Figure-8	Right IFG	rTMS	1	90% RMT	1800	—	navigation	—	15	Trend to improved naming reaction time	https://pubmed.ncbi.nlm.nih.gov/?term=Waldowski%202012%20TMS
☺ (modest)	Stroke – Neglect	Contralesional cTBS		Nyffeler	Switzerland	2009	Stroke	cTBS over contralesional PPC for hemispatial neglect: controlled study	RCT / series	Two-trains cTBS	Figure-8	Contralesional PPC	cTBS	50	100% RMT	—	—	navigation	—	short course	Sustained reduction of neglect after cTBS	https://pubmed.ncbi.nlm.nih.gov/?term=Nyffeler%202009%20TMS
☺ (modest)	Stroke – Neglect	Contralesional cTBS RCT		Koch	Italy	2012	Neurology	cTBS of contralesional PPC for neglect after stroke: randomized sham-controlled trial	RCT	Parietal cTBS	Figure-8	Contralesional PPC	cTBS	50	80% AMT	600	—	navigation	—	10	Improved visuospatial neglect vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Koch%202012%20TMS
☺	Parkinson's disease	M1 rTMS RCT		Khedr	Egypt	2003	J Neurol Neurosurg Psychiatry	rTMS of the motor cortex improves motor performance in Parkinson disease	RCT	5Hz M1	Figure-8	Motor cortex (M1)	rTMS	5	120% RMT	—	—	motor hotspot	—	6	Improved motor function and walking vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Khedr%202003%20TMS
☺ (modest)	Parkinson's disease	25Hz gait / bradykinesia		Lomarev	USA (NIH)	2006	Mov Disord	Placebo-controlled study of rTMS for gait and bradykinesia in Parkinson disease	RCT	25Hz M1/DLPFC	Figure-8	M1 / DLPFC	rTMS	25	100% MT	—	—	navigation	—	8 (4 wk)	Improved gait/bradykinesia; cumulative effect lasting ~1 mo	https://pubmed.ncbi.nlm.nih.gov/?term=Lomarev%202006%20TMS
☹	Parkinson's disease	M1 rTMS negative		del Olmo	Spain	2007	J Neurol Neurosurg Psychiatry	LF rTMS of the DLPFC in Parkinson disease: no motor or cognitive benefit	RCT	Sequential LF	Figure-8	DLPFC	rTMS	1	90% RMT	—	—	5 cm	—	10	No significant motor or cognitive benefit (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=del%20Olmo%202007%20TMS
☺ (modest)	Parkinson's disease	M1 vs SMA		Shirota	Japan	2013	Neurology	rTMS of SMA in Parkinson disease: randomized controlled trial	RCT, n=106	1Hz vs 10Hz SMA	Figure-8	Supplementary motor area	rTMS	1 / 10	110% RMT	1000	—	navigation	—	8	1Hz SMA improved motor scores; 10Hz did not	https://pubmed.ncbi.nlm.nih.gov/?term=Shirota%202013%20TMS
☺	Parkinson's disease	Motor meta-analysis		Brys	USA	2016	Neurology	rTMS for motor and mood symptoms in Parkinson disease: meta-analysis	Meta-analysis	Pooled RCTs	Figure-8	M1 / DLPFC	rTMS	HF / LF	—	—	—	—	—	—	HF-M1 improves motor (UPDRS-III); DLPFC improves depression	https://pubmed.ncbi.nlm.nih.gov/?term=Brys%202016%20TMS
☺ (modest)	Tourette syndrome	SMA 1Hz RCT		Kwon	South Korea	2011	J Korean Med Sci	LF rTMS of the SMA for tics in children with Tourette syndrome	RCT / open	1Hz SMA	Figure-8	Supplementary motor area	rTMS	1	100% MT	1200	—	10-20	—	10	Reduced tic severity in children	https://pubmed.ncbi.nlm.nih.gov/?term=Kwon%202011%20TMS
☺ (modest)	Tinnitus	LF temporal RCT		Khedr	Egypt	2008	J Neurol Neurosurg Psychiatry	LF rTMS of temporal cortex for chronic tinnitus: randomized study	RCT	1/10/25Hz temporal	Figure-8	Auditory / temporal cortex	rTMS	1	110% RMT	—	—	10-20	—	10	1Hz temporal reduced tinnitus; effect frequency-dependent	https://pubmed.ncbi.nlm.nih.gov/?term=Khedr%202008%20TMS
☺ (modest)	Tinnitus	LF temporal		Kleinjung	Germany	2005	Otolaryngol Head Neck Surg	Neuronavigated LF rTMS of auditory cortex for chronic tinnitus	Pilot / series	PET/fMRI-guided	Figure-8	Auditory cortex	rTMS	1	110% RMT	2000	—	neuronavigation	—	5-10	Reduced tinnitus loudness in responders	https://pubmed.ncbi.nlm.nih.gov/?term=Kleinjung%202005%20TMS
☺ (modest)	Tinnitus	LF temporoparietal RCT		Rossi	Italy	2007	Neurology	LF rTMS of temporoparietal cortex for tinnitus: randomized crossover trial	RCT crossover	1Hz TPC	Figure-8	Temporoparietal cortex	rTMS	1	120% RMT	1200	—	10-20	—	5	Transient tinnitus reduction vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Rossi%202007%20TMS
☺ (modest)	Tinnitus	Meta-analysis		Liang	China	2020	Front Neurol / meta	rTMS for tinnitus: updated systematic review and meta-analysis	Meta-analysis	Pooled RCTs	Figure-8	Auditory cortex	rTMS	1	—	—	—	—	—	—	Small significant reduction in tinnitus severity; heterogeneous	https://pubmed.ncbi.nlm.nih.gov/?term=Liang%202020%20TMS
☺ (modest)	Alzheimer's disease	neuroAD RCT		Rabey	Israel	2013	J Neural Transm	rTMS combined with cognitive training in Alzheimer disease: randomized double-blind study	RCT	Multi-site targets + training	Figure-8	DLPFC / language / parietal	rTMS	10	90-110% RMT	—	—	navigation	~1 hr	30	Improved ADAS-Cog vs sham (basis for neuroAD program)	https://pubmed.ncbi.nlm.nih.gov/?term=Rabey%202013%20TMS
☺ (modest)	Alzheimer's disease	rTMS + cognitive training		Bentwich	Israel	2011	J Neural Transm	rTMS with cognitive training in Alzheimer disease: proof-of-concept	Open-label	6 cortical targets	Figure-8	6 cortical regions	rTMS	10	90-110% RMT	—	—	navigation	~1 hr	30 + maintenance	Cognitive improvement sustained at 4.5 mo	https://pubmed.ncbi.nlm.nih.gov/?term=Bentwich%202011%20TMS
☺ (modest)	Alzheimer's disease	Precuneus network		Koch	Italy	2018	Neuroimage	20Hz rTMS of the precuneus improves memory in early Alzheimer disease	RCT crossover	Precuneus / DMN	Figure-8	Precuneus	rTMS	20	100% RMT	1600	—	MRI navigation	—	2 weeks	Improved episodic memory vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Koch%202018%20TMS
☺ (modest)	Cognition – MCI	DLPFC + training		Drumond Marra	Brazil	2015	Behav Neurol	HF rTMS of left DLPFC in amnestic mild cognitive impairment: randomized trial	RCT	10Hz L-DLPFC + training	Figure-8	Left DLPFC	rTMS	10	110% RMT	2000	—	10-20	—	10	Improved memory/executive function vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Drumond%20Marra%202015%20TMS
☺ (modest)	Cognition – AD	Meta-analysis		Chou	USA / Taiwan	2020	Neurobiol Aging	rTMS for cognition in Alzheimer disease: systematic review and meta-analysis	Meta-analysis	Pooled RCTs	Figure-8	DLPFC / networks	rTMS	HF	—	—	—	—	—	—	HF-rTMS improves cognition in AD (small-moderate, short-term)	https://pubmed.ncbi.nlm.nih.gov/?term=Chou%202020%20TMS
☺ (modest)	ADHD	Right DLPFC		Weaver	USA	2012	J Child Adolesc Psychopharmacol	HF rTMS of right DLPFC for ADHD in adolescents/young adults: pilot RCT	RCT crossover pilot	10Hz right DLPFC	Figure-8	Right DLPFC	rTMS	10	100% MT	—	—	5 cm	—	10	Global improvement; not significant on core ADHD scales	https://pubmed.ncbi.nlm.nih.gov/?term=Weaver%202012%20TMS
☺ (modest)	ADHD	Meta-analysis		Cao	China	2018	J Affect Disord / meta	Non-invasive brain stimulation for ADHD: systematic review and meta-analysis	Meta-analysis	rTMS / tDCS	—	DLPFC	rTMS	HF	—	—	—	—	—	—	Limited evidence; some benefit on attention (low quality)	https://pubmed.ncbi.nlm.nih.gov/?term=Cao%202018%20TMS
☺ (modest)	Insomnia	LF right DLPFC		Jiang	China	2013	Cell Biochem Biophys	LF rTMS of right DLPFC for primary insomnia: randomized controlled trial	RCT	1Hz right DLPFC	Figure-8	Right DLPFC	rTMS	1	80-90% MT	—	—	5 cm	—	10-14	Improved sleep measures vs medication/psychotherapy	https://pubmed.ncbi.nlm.nih.gov/?term=Jiang%202013%20TMS
☺ (modest)	Addiction – Methamphetamine	L-DLPFC		Liang	China	2018	Drug Alcohol Depend	HF rTMS of left DLPFC reduces cue-induced craving in methamphetamine use disorder	RCT	10Hz L-DLPFC	Figure-8	Left DLPFC	rTMS	10	100% RMT	—	—	5 cm	—	single/multiple	Reduced methamphetamine cue-craving vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Liang%202018%20TMS
☹	Autism spectrum	rTMS RCT (executive)		Ameis	Canada	2020	Trials / Am J Psychiatry	rTMS of dorsomedial PFC for executive function in autism: randomized controlled trial	RCT	20Hz dmPFC	Figure-8	Dorsomedial PFC	rTMS	20	—	—	—	navigation	—	20	No significant benefit on primary executive outcome (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Ameis%202020%20TMS
☺ (modest)	Post-stroke depression	L-DLPFC		Jorge	USA	2004	Biol Psychiatry	rTMS of left DLPFC for post-stroke depression: sham-controlled trial	RCT	10Hz L-DLPFC	Figure-8	Left DLPFC	rTMS	10	110% RMT	—	—	5 cm	—	10	Reduced post-stroke depression vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Jorge%202004%20TMS
☹	Amyotrophic lateral sclerosis	cTBS negative		Di Lazzaro	Italy	2009	Amyotroph Lateral Scler	Repetitive cTBS of motor cortex in ALS: randomized controlled trial	RCT	Monthly cTBS	Figure-8	Motor cortex (M1)	cTBS	50	80% AMT	—	—	navigation	—	monthly	No slowing of disease progression (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Di%20Lazzaro%202009%20TMS
☺ (modest)	Disorders of consciousness	DLPFC HF		Naro	Italy	2016	Neuroscience / Brain Stimul	HF rTMS of DLPFC in disorders of consciousness: exploratory study	Exploratory	DLPFC HF	Figure-8	DLPFC	rTMS	10-20	90-100% RMT	—	—	navigation	—	variable	Transient signs of responsiveness in minimally conscious	https://pubmed.ncbi.nlm.nih.gov/?term=Naro%202016%20TMS
⚔ ref	Methodology	Foundational (first TMS)		Barker	UK	1985	Lancet	Non-invasive magnetic stimulation of human motor cortex	Technical report	Invented TMS	Circular	Motor cortex (M1)	single-pulse	—	supra-threshold	1	—	vertex/M1	—	1	First non-invasive magnetic stimulation of human cortex (the origin of TMS)	https://pubmed.ncbi.nlm.nih.gov/?term=Barker%201985%20TMS
⚔ ref	Methodology	Foundational (theta burst)		Huang	UK	2005	Neuron	Theta burst stimulation of the human motor cortex	Physiology / methods	Introduced TBS	Figure-8	Motor cortex (M1)	TBS (iTBS / cTBS)	50 (triplet @5Hz)	80% AMT	600	—	motor hotspot	40-190 s	1	Defined iTBS (facilitatory) and cTBS (inhibitory) protocols now used clinically	https://pubmed.ncbi.nlm.nih.gov/?term=Huang%202005%20TMS
⚔ ref	Methodology	Motor threshold definition		Chen	USA (NIH)	1997	Neurology	Depression of motor cortex excitability by LF rTMS	Physiology	1Hz reduces excitability	Figure-8	Motor cortex (M1)	rTMS	1	—	—	—	motor hotspot	—	1	Showed 1Hz rTMS lastingly reduces cortical excitability (basis of inhibitory protocols)	https://pubmed.ncbi.nlm.nih.gov/?term=Chen%201997%20TMS
⚔ ref	Methodology	Primer / review		Hallett	USA (NIH)	2007	Neuron	Transcranial magnetic stimulation: a primer	Review	Widely cited primer	—	—	rTMS / single-pulse	—	—	—	—	—	—	—	Standard reference on TMS mechanisms and applications	https://pubmed.ncbi.nlm.nih.gov/?term=Hallett%202007%20TMS
⚔ ref	Methodology	Mechanisms review		Klomjai	Thailand / France	2015	Ann Phys Rehabil Med	Basic principles of transcranial magnetic stimulation and rTMS	Review	Teaching reference	—	—	rTMS / TBS	—	—	—	—	—	—	—	Accessible review of TMS/rTMS principles and rehabilitation uses	https://pubmed.ncbi.nlm.nih.gov/?term=Klomjai%202015%20TMS
